Team_1,Team_2,Winner,Margin,Ground,Match Date,Bat first,Pitch Advantage,Home Advantage
Pakistan,Sri Lanka,Pakistan,8 wickets,Karachi,"Oct 6, 2004",Sri Lanka,Batting,Pakistan
Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Rawalpindi,"Oct 9, 2004",Zimbabwe,Balanced,Pakistan
Pakistan,Sri Lanka,Pakistan,6 wickets,Lahore,"Oct 14, 2004",Sri Lanka,Balanced,Pakistan
Pakistan,Sri Lanka,Sri Lanka,119 runs,Lahore,"Oct 16, 2004",Sri Lanka,Balanced,Pakistan
Bangladesh,New Zealand,New Zealand,138 runs,Chattogram,"Nov 2, 2004",New Zealand,Batting,Bangladesh
Bangladesh,New Zealand,New Zealand,3 wickets,Dhaka,"Nov 5, 2004",Bangladesh,Balanced,Bangladesh
Bangladesh,New Zealand,New Zealand,83 runs,Dhaka,"Nov 7, 2004",New Zealand,Balanced,Bangladesh
India,Pakistan,Pakistan,6 wickets,Eden Gardens,"Nov 13, 2004",India,Balanced,India
Zimbabwe,England,England,5 wickets,Harare,"Nov 28, 2004",Zimbabwe,Balanced,Zimbabwe
Zimbabwe,England,England,161 runs,Harare,"Dec 1, 2004",England,Balanced,Zimbabwe
Zimbabwe,England,England,8 wickets,Bulawayo,"Dec 4, 2004",Zimbabwe,Batting,Zimbabwe
Australia,New Zealand,New Zealand,4 wickets,Melbourne (Docklands),"Dec 5, 2004",Australia,Balanced,Australia
Zimbabwe,England,England,74 runs,Bulawayo,"Dec 5, 2004",England,Batting,Zimbabwe
Australia,New Zealand,Australia,17 runs,Sydney,"Dec 8, 2004",Australia,Balanced,Australia
Bangladesh,India,India,11 runs,Chattogram,"Dec 23, 2004",India,Batting,Bangladesh
New Zealand,Sri Lanka,New Zealand,7 wickets,Auckland,"Dec 26, 2004",Sri Lanka,Batting,New Zealand
Bangladesh,India,Bangladesh,15 runs,Dhaka,"Dec 26, 2004",Bangladesh,Balanced,Bangladesh
Bangladesh,India,India,91 runs,Dhaka,"Dec 27, 2004",India,Balanced,Bangladesh
Asia XI,ICC World XI,ICC World XI,112 runs,Melbourne,"Jan 10, 2005",ICC World XI,Balanced,Australia
Australia,West Indies,Australia,116 runs,Melbourne,"Jan 14, 2005",Australia,Balanced,Australia
Australia,Pakistan,Australia,4 wickets,Hobart,"Jan 16, 2005",Pakistan,Balanced,Australia
Pakistan,West Indies,Pakistan,6 wickets,Brisbane,"Jan 19, 2005",West Indies,Batting,Australia
Bangladesh,Zimbabwe,Zimbabwe,22 runs,Dhaka,"Jan 20, 2005",Zimbabwe,Balanced,Bangladesh
Australia,West Indies,0,-,Brisbane,"Jan 21, 2005",West Indies,Batting,Australia
Australia,Pakistan,Australia,9 wickets,Sydney,"Jan 23, 2005",Pakistan,Balanced,Australia
Bangladesh,Zimbabwe,Zimbabwe,31 runs,Chattogram,"Jan 24, 2005",Zimbabwe,Batting,Bangladesh
Bangladesh,Zimbabwe,Bangladesh,40 runs,Chattogram,"Jan 26, 2005",Bangladesh,Batting,Bangladesh
Australia,West Indies,Australia,73 runs,Adelaide,"Jan 26, 2005",Australia,Balanced,Australia
Pakistan,West Indies,West Indies,58 runs,Adelaide,"Jan 28, 2005",West Indies,Balanced,Australia
Bangladesh,Zimbabwe,Bangladesh,58 runs,Dhaka,"Jan 29, 2005",Bangladesh,Balanced,Bangladesh
Australia,Pakistan,Pakistan,3 wickets,Perth,"Jan 30, 2005",Australia,Balanced,Australia
South Africa,England,England,26 runs,Johannesburg,"Jan 30, 2005",England,Batting,South Africa
Bangladesh,Zimbabwe,Bangladesh,8 wickets,Dhaka,"Jan 31, 2005",Zimbabwe,Balanced,Bangladesh
Pakistan,West Indies,Pakistan,30 runs,Perth,"Feb 1, 2005",Pakistan,Balanced,Australia
South Africa,England,0,-,Bloemfontein,"Feb 2, 2005",England,Batting,South Africa
Australia,Pakistan,Australia,18 runs,Melbourne,"Feb 4, 2005",Australia,Balanced,Australia
South Africa,England,South Africa,3 wickets,Gqeberha,"Feb 4, 2005",England,Balanced,South Africa
Australia,Pakistan,Australia,31 runs,Sydney,"Feb 6, 2005",Australia,Balanced,Australia
South Africa,England,South Africa,108 runs,Cape Town,"Feb 6, 2005",South Africa,Bowling,South Africa
South Africa,England,South Africa,7 runs,East London,"Feb 9, 2005",South Africa,Balanced,South Africa
South Africa,England,0,-,Durban,"Feb 11, 2005",England,Batting,South Africa
South Africa,England,South Africa,3 wickets,Centurion,"Feb 13, 2005",England,Batting,South Africa
New Zealand,Australia,Australia,10 runs,Wellington,"Feb 19, 2005",Australia,Balanced,New Zealand
New Zealand,Australia,Australia,106 runs,Christchurch,"Feb 22, 2005",Australia,Balanced,New Zealand
South Africa,Zimbabwe,South Africa,165 runs,Johannesburg,"Feb 25, 2005",South Africa,Batting,South Africa
New Zealand,Australia,Australia,86 runs,Auckland,"Feb 26, 2005",Australia,Batting,New Zealand
South Africa,Zimbabwe,South Africa,131 runs,Durban,"Feb 27, 2005",South Africa,Batting,South Africa
New Zealand,Australia,Australia,7 wickets,Wellington,"Mar 1, 2005",New Zealand,Balanced,New Zealand
South Africa,Zimbabwe,South Africa,5 wickets,Gqeberha,"Mar 2, 2005",Zimbabwe,Balanced,South Africa
New Zealand,Australia,Australia,122 runs,Napier,"Mar 5, 2005",Australia,Balanced,New Zealand
India,Pakistan,India,87 runs,Kochi,"Apr 2, 2005",India,Balanced,India
India,Pakistan,India,58 runs,Visakhapatnam,"Apr 5, 2005",India,Balanced,India
India,Pakistan,Pakistan,106 runs,Jamshedpur,"Apr 9, 2005",Pakistan,Balanced,India
India,Pakistan,Pakistan,3 wickets,Ahmedabad,"Apr 12, 2005",India,Balanced,India
India,Pakistan,Pakistan,5 wickets,Kanpur,"Apr 15, 2005",India,Balanced,India
India,Pakistan,Pakistan,159 runs,Delhi,"Apr 17, 2005",Pakistan,Batting,India
West Indies,South Africa,South Africa,8 wickets,Kingston,"May 7, 2005",West Indies,Batting,Jamaica
West Indies,South Africa,South Africa,8 wickets,Kingston,"May 8, 2005",West Indies,Batting,Jamaica
West Indies,South Africa,South Africa,1 run,Bridgetown,"May 11, 2005",West Indies,Balanced,Barbados
West Indies,South Africa,South Africa,6 wickets,Port of Spain,"May 14, 2005",West Indies,Batting,Trinidad and Tobago
West Indies,South Africa,South Africa,7 wickets,Port of Spain,"May 15, 2005",West Indies,Batting,Trinidad and Tobago
West Indies,Pakistan,Pakistan,59 runs,Kingstown,"May 18, 2005",Pakistan,Balanced,Saint Vincent and the Grenadines
West Indies,Pakistan,Pakistan,40 runs,Gros Islet,"May 21, 2005",Pakistan,Batting,Saint Lucia
West Indies,Pakistan,Pakistan,22 runs,Gros Islet,"May 22, 2005",Pakistan,Batting,Saint Lucia
England,Bangladesh,England,10 wickets,The Oval,"Jun 16, 2005",Bangladesh,Balanced,England (United Kingdom)
Australia,Bangladesh,Bangladesh,5 wickets,Cardiff,"Jun 18, 2005",Australia,Balanced,Wales (United Kingdom)
England,Australia,England,3 wickets,Bristol,"Jun 19, 2005",Australia,Balanced,England (United Kingdom)
England,Bangladesh,England,168 runs,Nottingham,"Jun 21, 2005",England,Balanced,England (United Kingdom)
England,Australia,Australia,57 runs,Chester-le-Street,"Jun 23, 2005",Australia,Balanced,England (United Kingdom)
Australia,Bangladesh,Australia,10 wickets,Manchester,"Jun 25, 2005",Bangladesh,Bowling,England (United Kingdom)
England,Bangladesh,England,5 wickets,Leeds,"Jun 26, 2005",Bangladesh,Balanced,England (United Kingdom)
England,Australia,0,-,Birmingham,"Jun 28, 2005",Australia,Balanced,England (United Kingdom)
Australia,Bangladesh,Australia,6 wickets,Canterbury,"Jun 30, 2005",Bangladesh,Balanced,New Zealand
England,Australia,0,-,Lord's,"Jul 2, 2005",Australia,Balanced,England (United Kingdom)
England,Australia,England,9 wickets,Leeds,"Jul 7, 2005",Australia,Balanced,England (United Kingdom)
England,Australia,Australia,7 wickets,Lord's,"Jul 10, 2005",England,Balanced,England (United Kingdom)
England,Australia,Australia,8 wickets,The Oval,"Jul 12, 2005",England,Balanced,England (United Kingdom)
Sri Lanka,India,Sri Lanka,3 wickets,Dambulla,"Jul 30, 2005",India,Balanced,Sri Lanka
India,West Indies,India,6 wickets,Dambulla,"Jul 31, 2005",West Indies,Balanced,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,50 runs,Dambulla,"Aug 2, 2005",Sri Lanka,Balanced,Sri Lanka
Sri Lanka,India,Sri Lanka,4 wickets,Dambulla,"Aug 3, 2005",India,Balanced,Sri Lanka
Sri Lanka,West Indies,West Indies,33 runs,Colombo (RPS),"Aug 6, 2005",West Indies,Batting,Sri Lanka
India,West Indies,India,7 runs,Colombo (RPS),"Aug 7, 2005",India,Batting,Sri Lanka
Sri Lanka,India,Sri Lanka,18 runs,Colombo (RPS),"Aug 9, 2005",Sri Lanka,Batting,Sri Lanka
Africa XI,Asia XI,Africa XI,2 runs,Centurion,"Aug 17, 2005",Africa XI,Batting,South Africa
Africa XI,Asia XI,Asia XI,17 runs,Durban,"Aug 20, 2005",Asia XI,Batting,South Africa
Africa XI,Asia XI,0,-,Durban,"Aug 21, 2005",Asia XI,Batting,South Africa
Zimbabwe,New Zealand,New Zealand,192 runs,Bulawayo,"Aug 24, 2005",New Zealand,Batting,Zimbabwe
India,New Zealand,New Zealand,51 runs,Bulawayo,"Aug 26, 2005",New Zealand,Batting,Zimbabwe
Zimbabwe,India,India,161 runs,Harare,"Aug 29, 2005",India,Balanced,Zimbabwe
Sri Lanka,Bangladesh,Sri Lanka,88 runs,Colombo (SSC),"Aug 31, 2005",Sri Lanka,Balanced,Sri Lanka
Zimbabwe,New Zealand,New Zealand,27 runs,Harare,"Aug 31, 2005",New Zealand,Balanced,Zimbabwe
Sri Lanka,Bangladesh,Sri Lanka,75 runs,Colombo (RPS),"Sep 2, 2005",Sri Lanka,Batting,Sri Lanka
India,New Zealand,India,6 wickets,Harare,"Sep 2, 2005",New Zealand,Balanced,Zimbabwe
Sri Lanka,Bangladesh,Sri Lanka,6 wickets,Colombo (RPS),"Sep 4, 2005",Bangladesh,Batting,Sri Lanka
Zimbabwe,India,India,4 wickets,Harare,"Sep 4, 2005",Zimbabwe,Balanced,Zimbabwe
India,New Zealand,New Zealand,6 wickets,Harare,"Sep 6, 2005",India,Balanced,Zimbabwe
Australia,ICC World XI,Australia,93 runs,Melbourne (Docklands),"Oct 5, 2005",Australia,Balanced,Australia
Australia,ICC World XI,Australia,55 runs,Melbourne (Docklands),"Oct 7, 2005",Australia,Balanced,Australia
Australia,ICC World XI,Australia,156 runs,Melbourne (Docklands),"Oct 9, 2005",Australia,Balanced,Australia
South Africa,New Zealand,South Africa,2 wickets,Bloemfontein,"Oct 23, 2005",New Zealand,Batting,South Africa
India,Sri Lanka,India,152 runs,Nagpur,"Oct 25, 2005",India,Balanced,India
India,Sri Lanka,India,8 wickets,Mohali,"Oct 28, 2005",Sri Lanka,Batting,India
South Africa,New Zealand,South Africa,19 runs,Cape Town,"Oct 28, 2005",South Africa,Bowling,South Africa
South Africa,New Zealand,South Africa,4 wickets,Gqeberha,"Oct 30, 2005",New Zealand,Balanced,South Africa
India,Sri Lanka,India,6 wickets,Jaipur,"Oct 31, 2005",Sri Lanka,Balanced,India
India,Sri Lanka,India,4 wickets,Pune,"Nov 3, 2005",Sri Lanka,Balanced,India
South Africa,New Zealand,0,-,Durban,"Nov 4, 2005",New Zealand,Batting,South Africa
South Africa,New Zealand,South Africa,5 wickets,Centurion,"Nov 6, 2005",New Zealand,Batting,South Africa
India,Sri Lanka,Sri Lanka,5 wickets,Ahmedabad,"Nov 6, 2005",India,Balanced,India
India,Sri Lanka,India,7 wickets,Rajkot,"Nov 9, 2005",Sri Lanka,Balanced,India
India,Sri Lanka,India,5 wickets,Vadodara,"Nov 12, 2005",Sri Lanka,Balanced,India
India,South Africa,South Africa,5 wickets,Hyderabad,"Nov 16, 2005",India,Balanced,India
India,South Africa,India,6 wickets,Bengaluru,"Nov 19, 2005",South Africa,Balanced,India
India,South Africa,South Africa,10 wickets,Eden Gardens,"Nov 25, 2005",India,Balanced,India
India,South Africa,India,5 wickets,Wankhede,"Nov 28, 2005",South Africa,Balanced,India
New Zealand,Australia,Australia,147 runs,Auckland,"Dec 3, 2005",Australia,Batting,New Zealand
New Zealand,Australia,Australia,2 runs,Wellington,"Dec 7, 2005",Australia,Balanced,New Zealand
New Zealand,Australia,New Zealand,2 wickets,Christchurch,"Dec 10, 2005",Australia,Balanced,New Zealand
Pakistan,England,England,42 runs,Lahore,"Dec 10, 2005",England,Balanced,Pakistan
Pakistan,England,Pakistan,7 wickets,Lahore,"Dec 12, 2005",England,Balanced,Pakistan
Pakistan,England,Pakistan,165 runs,Karachi,"Dec 15, 2005",Pakistan,Batting,Pakistan
Pakistan,England,Pakistan,13 runs,Rawalpindi,"Dec 19, 2005",Pakistan,Balanced,Pakistan
Pakistan,England,England,6 runs,Rawalpindi,"Dec 21, 2005",England,Balanced,Pakistan
New Zealand,Sri Lanka,New Zealand,7 wickets,Queenstown,"Dec 31, 2005",Sri Lanka,Balanced,New Zealand
New Zealand,Sri Lanka,New Zealand,5 wickets,Christchurch,"Jan 3, 2006",Sri Lanka,Balanced,New Zealand
New Zealand,Sri Lanka,New Zealand,21 runs,Wellington,"Jan 6, 2006",New Zealand,Balanced,New Zealand
New Zealand,Sri Lanka,Sri Lanka,20 runs,Napier,"Jan 8, 2006",Sri Lanka,Balanced,New Zealand
Australia,Sri Lanka,Australia,116 runs,Melbourne (Docklands),"Jan 13, 2006",Australia,Balanced,Australia
Australia,South Africa,South Africa,5 wickets,Brisbane,"Jan 15, 2006",Australia,Batting,Australia
South Africa,Sri Lanka,Sri Lanka,94 runs,Brisbane,"Jan 17, 2006",Sri Lanka,Batting,Australia
Australia,South Africa,Australia,59 runs,Melbourne (Docklands),"Jan 20, 2006",Australia,Balanced,Australia
Australia,Sri Lanka,Sri Lanka,51 runs,Sydney,"Jan 22, 2006",Sri Lanka,Balanced,Australia
South Africa,Sri Lanka,South Africa,9 runs,Adelaide,"Jan 24, 2006",South Africa,Balanced,Australia
Australia,Sri Lanka,Australia,5 wickets,Adelaide,"Jan 26, 2006",Sri Lanka,Balanced,Australia
Australia,Sri Lanka,Australia,6 wickets,Perth,"Jan 29, 2006",Sri Lanka,Balanced,Australia
South Africa,Sri Lanka,South Africa,5 wickets,Perth,"Jan 31, 2006",Sri Lanka,Balanced,Australia
Australia,South Africa,Australia,80 runs,Melbourne (Docklands),"Feb 3, 2006",Australia,Balanced,Australia
Australia,South Africa,Australia,57 runs,Sydney,"Feb 5, 2006",Australia,Balanced,Australia
Pakistan,India,Pakistan,7 runs,Peshawar,"Feb 6, 2006",Pakistan,Balanced,Pakistan
South Africa,Sri Lanka,Sri Lanka,76 runs,Hobart,"Feb 7, 2006",Sri Lanka,Balanced,Australia
Australia,Sri Lanka,Sri Lanka,22 runs,Adelaide,"Feb 10, 2006",Sri Lanka,Balanced,Australia
Pakistan,India,India,7 wickets,Rawalpindi,"Feb 11, 2006",Pakistan,Balanced,Pakistan
Australia,Sri Lanka,Australia,167 runs,Sydney,"Feb 12, 2006",Australia,Balanced,Australia
Pakistan,India,India,5 wickets,Lahore,"Feb 13, 2006",Pakistan,Balanced,Pakistan
Australia,Sri Lanka,Australia,9 wickets,Brisbane,"Feb 14, 2006",Sri Lanka,Batting,Australia
Pakistan,India,India,5 wickets,Multan,"Feb 16, 2006",Pakistan,Balanced,Pakistan
New Zealand,West Indies,New Zealand,81 runs,Wellington,"Feb 18, 2006",New Zealand,Balanced,New Zealand
Pakistan,India,India,8 wickets,Karachi,"Feb 19, 2006",Pakistan,Batting,Pakistan
Bangladesh,Sri Lanka,Sri Lanka,5 wickets,Bogra,"Feb 20, 2006",Bangladesh,Balanced,Bangladesh
New Zealand,West Indies,New Zealand,3 wickets,Queenstown,"Feb 22, 2006",West Indies,Balanced,New Zealand
Bangladesh,Sri Lanka,Bangladesh,4 wickets,Bogra,"Feb 22, 2006",Sri Lanka,Balanced,Bangladesh
New Zealand,West Indies,New Zealand,21 runs,Christchurch,"Feb 25, 2006",New Zealand,Balanced,New Zealand
Bangladesh,Sri Lanka,Sri Lanka,78 runs,Chattogram,"Feb 25, 2006",Sri Lanka,Batting,Bangladesh
Zimbabwe,Kenya,Zimbabwe,8 wickets,Bulawayo,"Feb 25, 2006",Kenya,Batting,Zimbabwe
Zimbabwe,Kenya,Kenya,79 runs,Bulawayo,"Feb 26, 2006",Kenya,Batting,Zimbabwe
South Africa,Australia,South Africa,6 wickets,Centurion,"Feb 26, 2006",Australia,Batting,South Africa
New Zealand,West Indies,New Zealand,91 runs,Napier,"Mar 1, 2006",New Zealand,Balanced,New Zealand
Zimbabwe,Kenya,Kenya,65 runs,Harare,"Mar 1, 2006",Kenya,Balanced,Zimbabwe
Zimbabwe,Kenya,Zimbabwe,109 runs,Harare,"Mar 3, 2006",Zimbabwe,Balanced,Zimbabwe
South Africa,Australia,South Africa,196 runs,Cape Town,"Mar 3, 2006",South Africa,Bowling,South Africa
New Zealand,West Indies,West Indies,3 wickets,Auckland,"Mar 4, 2006",New Zealand,Batting,New Zealand
South Africa,Australia,Australia,24 runs,Gqeberha,"Mar 5, 2006",Australia,Balanced,South Africa
South Africa,Australia,Australia,1 wicket,Durban,"Mar 10, 2006",South Africa,Batting,South Africa
South Africa,Australia,South Africa,1 wicket,Johannesburg,"Mar 12, 2006",Australia,Batting,South Africa
Bangladesh,Kenya,Bangladesh,131 runs,Bogra,"Mar 17, 2006",Bangladesh,Balanced,Bangladesh
Sri Lanka,Pakistan,0,-,Colombo (RPS),"Mar 17, 2006",Pakistan,Batting,Sri Lanka
Sri Lanka,Pakistan,Pakistan,4 wickets,Colombo (RPS),"Mar 19, 2006",Sri Lanka,Batting,Sri Lanka
Bangladesh,Kenya,Bangladesh,9 wickets,Khulna,"Mar 20, 2006",Kenya,Balanced,Bangladesh
Sri Lanka,Pakistan,Pakistan,4 wickets,Colombo (SSC),"Mar 22, 2006",Sri Lanka,Balanced,Sri Lanka
Bangladesh,Kenya,Bangladesh,20 runs,Fatullah,"Mar 23, 2006",Bangladesh,Balanced,Bangladesh
Bangladesh,Kenya,Bangladesh,7 wickets,Fatullah,"Mar 25, 2006",Kenya,Balanced,Bangladesh
India,England,India,39 runs,Delhi,"Mar 28, 2006",India,Batting,India
India,England,India,4 wickets,Faridabad,"Mar 31, 2006",England,Balanced,India
India,England,India,49 runs,Margao,"Apr 3, 2006",India,Balanced,India
India,England,India,4 wickets,Kochi,"Apr 6, 2006",England,Balanced,India
India,England,England,5 wickets,Jamshedpur,"Apr 12, 2006",India,Balanced,India
India,England,India,7 wickets,Indore,"Apr 15, 2006",England,Balanced,India
India,Pakistan,Pakistan,6 wickets,Abu Dhabi,"Apr 18, 2006",India,Bowling,United Arab Emirates (UAE)
India,Pakistan,India,51 runs,Abu Dhabi,"Apr 19, 2006",India,Bowling,United Arab Emirates (UAE)
Bangladesh,Australia,Australia,4 wickets,Chattogram,"Apr 23, 2006",Bangladesh,Batting,Bangladesh
Bangladesh,Australia,Australia,67 runs,Fatullah,"Apr 26, 2006",Australia,Balanced,Bangladesh
Bangladesh,Australia,Australia,9 wickets,Fatullah,"Apr 28, 2006",Bangladesh,Balanced,Bangladesh
West Indies,Zimbabwe,West Indies,5 wickets,St John's,"Apr 29, 2006",Zimbabwe,Balanced,Antigua and Barbuda
West Indies,Zimbabwe,West Indies,98 runs,St John's,"Apr 30, 2006",West Indies,Balanced,Antigua and Barbuda
West Indies,Zimbabwe,West Indies,82 runs,Georgetown,"May 7, 2006",West Indies,Balanced,Guyana
West Indies,Zimbabwe,West Indies,10 wickets,Gros Islet,"May 10, 2006",Zimbabwe,Batting,Saint Lucia
West Indies,Zimbabwe,0,-,Port of Spain,"May 13, 2006",Zimbabwe,Batting,Trinidad and Tobago
West Indies,Zimbabwe,West Indies,104 runs,Port of Spain,"May 14, 2006",West Indies,Batting,Trinidad and Tobago
Canada,Zimbabwe,Zimbabwe,143 runs,Port of Spain,"May 16, 2006",Zimbabwe,Batting,Trinidad and Tobago
Bermuda,Canada,Bermuda,3 wickets,Port of Spain,"May 17, 2006",Canada,Batting,Trinidad and Tobago
Bermuda,Zimbabwe,Zimbabwe,194 runs,Port of Spain,"May 18, 2006",Zimbabwe,Batting,Trinidad and Tobago
West Indies,India,India,5 wickets,Kingston,"May 18, 2006",West Indies,Batting,Jamaica
Bermuda,Zimbabwe,Zimbabwe,83 runs,Port of Spain,"May 20, 2006",Zimbabwe,Batting,Trinidad and Tobago
West Indies,India,West Indies,1 run,Kingston,"May 20, 2006",India,Batting,Jamaica
West Indies,India,West Indies,4 wickets,Basseterre,"May 23, 2006",India,Batting,Saint Kitts and Nevis
West Indies,India,West Indies,6 wickets,Port of Spain,"May 26, 2006",India,Batting,Trinidad and Tobago
West Indies,India,West Indies,19 runs,Port of Spain,"May 28, 2006",West Indies,Batting,Trinidad and Tobago
Ireland,England,England,38 runs,Belfast,"Jun 13, 2006",England,Balanced,Northern Ireland (United Kingdom)
England,Sri Lanka,Sri Lanka,20 runs,Lord's,"Jun 17, 2006",Sri Lanka,Balanced,England (United Kingdom)
England,Sri Lanka,Sri Lanka,46 runs,The Oval,"Jun 20, 2006",Sri Lanka,Balanced,England (United Kingdom)
England,Sri Lanka,Sri Lanka,8 wickets,Chester-le-Street,"Jun 24, 2006",England,Balanced,England (United Kingdom)
Scotland,Pakistan,Pakistan,5 wickets,Edinburgh,"Jun 27, 2006",Scotland,Bowling,Scotland (United Kingdom)
England,Sri Lanka,Sri Lanka,33 runs,Manchester,"Jun 28, 2006",Sri Lanka,Bowling,England (United Kingdom)
England,Sri Lanka,Sri Lanka,8 wickets,Leeds,"Jul 1, 2006",England,Balanced,England (United Kingdom)
Netherlands,Sri Lanka,Sri Lanka,195 runs,Amstelveen,"Jul 4, 2006",Sri Lanka,Balanced,Netherlands
Netherlands,Sri Lanka,Sri Lanka,55 runs,Amstelveen,"Jul 6, 2006",Sri Lanka,Balanced,Netherlands
Zimbabwe,Bangladesh,Zimbabwe,2 wickets,Harare,"Jul 29, 2006",Bangladesh,Balanced,Zimbabwe
Zimbabwe,Bangladesh,Bangladesh,62 runs,Harare,"Jul 30, 2006",Bangladesh,Balanced,Zimbabwe
Zimbabwe,Bangladesh,Zimbabwe,2 wickets,Harare,"Aug 2, 2006",Bangladesh,Balanced,Zimbabwe
Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare,"Aug 4, 2006",Bangladesh,Balanced,Zimbabwe
Scotland,Ireland,Ireland,85 runs,Ayr,"Aug 5, 2006",Ireland,Balanced,Scotland (United Kingdom)
Canada,Kenya,Kenya,108 runs,Toronto,"Aug 5, 2006",Kenya,Balanced,Canada
Zimbabwe,Bangladesh,Bangladesh,8 wickets,Harare,"Aug 6, 2006",Zimbabwe,Balanced,Zimbabwe
Scotland,Netherlands,Scotland,4 wickets,Ayr,"Aug 6, 2006",Netherlands,Balanced,Scotland (United Kingdom)
Canada,Kenya,Kenya,5 wickets,Toronto,"Aug 6, 2006",Canada,Balanced,Canada
Ireland,Netherlands,0,-,Ayr,"Aug 8, 2006",Netherlands,Balanced,Scotland (United Kingdom)
Kenya,Bangladesh,Bangladesh,6 wickets,Nairobi (Gym),"Aug 12, 2006",Kenya,Balanced,Kenya
Kenya,Bangladesh,Bangladesh,2 wickets,Nairobi (Gym),"Aug 13, 2006",Kenya,Balanced,Kenya
Kenya,Bangladesh,Bangladesh,6 wickets,Nairobi (Gym),"Aug 15, 2006",Kenya,Balanced,Kenya
Sri Lanka,India,0,-,Colombo (SSC),"Aug 18-19, 2006",India,Balanced,Sri Lanka
Canada,Bermuda,Bermuda,6 wickets,Toronto,"Aug 19, 2006",Canada,Balanced,Canada
Canada,Bermuda,Bermuda,11 runs,Toronto,"Aug 21, 2006",Bermuda,Balanced,Canada
England,Pakistan,0,-,Cardiff,"Aug 30, 2006",Pakistan,Balanced,Wales (United Kingdom)
England,Pakistan,Pakistan,7 wickets,Lord's,"Sep 2, 2006",England,Balanced,England (United Kingdom)
England,Pakistan,Pakistan,2 wickets,Southampton,"Sep 5, 2006",England,Balanced,England (United Kingdom)
England,Pakistan,England,8 wickets,Nottingham,"Sep 8, 2006",Pakistan,Balanced,England (United Kingdom)
England,Pakistan,England,3 wickets,Birmingham,"Sep 10, 2006",Pakistan,Balanced,England (United Kingdom)
Australia,West Indies,Australia,78 runs,Kuala Lumpur,"Sep 12, 2006",Australia,Balanced,Malaysia
India,West Indies,West Indies,29 runs,Kuala Lumpur,"Sep 14, 2006",West Indies,Balanced,Malaysia
South Africa,Zimbabwe,South Africa,5 wickets,Bloemfontein,"Sep 15, 2006",Zimbabwe,Batting,South Africa
