Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id,Bat first,Pitch Advantage ,Home Advantage
Botswana,Uganda,Uganda,7 wickets,Benoni,"Sep 15, 2022",T20I # 1776,Botswana,Balanced,South Africa
Cameroon,Malawi,Malawi,7 wickets,Benoni,"Sep 15, 2022",T20I # 1777,Cameroon,Balanced,South Africa
Ghana,Mozambique,Ghana,28 runs,Benoni,"Sep 16, 2022",T20I # 1778,Ghana,Balanced,South Africa
Kenya,Malawi,Kenya,52 runs,Benoni,"Sep 16, 2022",T20I # 1779,Kenya,Balanced,South Africa
Cameroon,Tanzania,Tanzania,10 wickets,Benoni,"Sep 17, 2022",T20I # 1780,Cameroon,Balanced,South Africa
Kenya,Tanzania,Tanzania,4 wickets,Benoni,"Sep 17, 2022",T20I # 1781,Kenya,Balanced,South Africa
Botswana,Ghana,Botswana,11 runs,Benoni,"Sep 18, 2022",T20I # 1782,Botswana,Balanced,South Africa
Mozambique,Uganda,Uganda,38 runs,Benoni,"Sep 18, 2022",T20I # 1783,Uganda,Balanced,South Africa
Cameroon,Kenya,Kenya,9 wickets,Benoni,"Sep 19, 2022",T20I # 1784,Cameroon,Balanced,South Africa
Botswana,Mozambique,Botswana,92 runs,Benoni,"Sep 19, 2022",T20I # 1785,Botswana,Balanced,South Africa
Malawi,Tanzania,Tanzania,44 runs,Benoni,"Sep 20, 2022",T20I # 1786,Tanzania,Balanced,South Africa
Ghana,Uganda,Uganda,8 wickets,Benoni,"Sep 20, 2022",T20I # 1787,Ghana,Balanced,South Africa
India,Australia,Australia,4 wickets,Mohali,"Sep 20, 2022",T20I # 1788,India,Batting,India
Pakistan,England,England,6 wickets,Karachi,"Sep 20, 2022",T20I # 1789,Pakistan,Batting,Pakistan
Kenya,Uganda,Uganda,3 wickets,Benoni,"Sep 21, 2022",T20I # 1790,Kenya,Balanced,South Africa
Botswana,Tanzania,Tanzania,4 wickets,Benoni,"Sep 21, 2022",T20I # 1791,Botswana,Balanced,South Africa
Tanzania,Uganda,Uganda,8 wickets,Benoni,"Sep 22, 2022",T20I # 1792,Tanzania,Balanced,South Africa
Pakistan,England,Pakistan,10 wickets,Karachi,"Sep 22, 2022",T20I # 1793,England,Batting,Pakistan
India,Australia,India,6 wickets,Nagpur,"Sep 23, 2022",T20I # 1794,Australia,Balanced,India
Pakistan,England,England,63 runs,Karachi,"Sep 23, 2022",T20I # 1795,England,Batting,Pakistan
India,Australia,India,6 wickets,Hyderabad,"Sep 25, 2022",T20I # 1796,Australia,Balanced,India
U.A.E.,Bangladesh,Bangladesh,7 runs,Dubai (DSC),"Sep 25, 2022",T20I # 1797,Bangladesh,Balanced,United Arab Emirates (UAE)
Pakistan,England,Pakistan,3 runs,Karachi,"Sep 25, 2022",T20I # 1798,Pakistan,Batting,Pakistan
U.A.E.,Bangladesh,Bangladesh,32 runs,Dubai (DSC),"Sep 27, 2022",T20I # 1799,Bangladesh,Balanced,United Arab Emirates (UAE)
India,South Africa,India,8 wickets,Thiruvananthapuram,"Sep 28, 2022",T20I # 1800,South Africa,Balanced,India
Pakistan,England,Pakistan,6 runs,Lahore,"Sep 28, 2022",T20I # 1801,Pakistan,Balanced,Pakistan
Pakistan,England,England,8 wickets,Lahore,"Sep 30, 2022",T20I # 1802,Pakistan,Balanced,Pakistan
India,South Africa,India,16 runs,Guwahati,"Oct 2, 2022",T20I # 1803,India,Bowling,India
Pakistan,England,England,67 runs,Lahore,"Oct 2, 2022",T20I # 1804,England,Balanced,Pakistan
India,South Africa,South Africa,49 runs,Indore,"Oct 4, 2022",T20I # 1805,South Africa,Balanced,India
Australia,West Indies,Australia,3 wickets,Carrara,"Oct 5, 2022",T20I # 1806,West Indies,Balanced,Australia
Bangladesh,Pakistan,Pakistan,21 runs,Christchurch,"Oct 7, 2022",T20I # 1807,Pakistan,Balanced,New Zealand
Australia,West Indies,Australia,31 runs,Brisbane,"Oct 7, 2022",T20I # 1808,Australia,Batting,Australia
New Zealand,Pakistan,Pakistan,6 wickets,Christchurch,"Oct 8, 2022",T20I # 1809,New Zealand,Balanced,New Zealand
Japan,Indonesia,Japan,65 runs,Sano,"Oct 9, 2022",T20I # 1810,Japan,Balanced,Japan
New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch,"Oct 9, 2022",T20I # 1811,Bangladesh,Balanced,New Zealand
Australia,England,England,8 runs,Perth,"Oct 9, 2022",T20I # 1812,England,Balanced,Australia
Japan,Indonesia,Japan,75 runs,Sano,"Oct 10, 2022",T20I # 1813,Japan,Balanced,Japan
Japan,Indonesia,Indonesia,3 wickets,Sano,"Oct 11, 2022",T20I # 1814,Japan,Balanced,Japan
New Zealand,Pakistan,New Zealand,9 wickets,Christchurch,"Oct 11, 2022",T20I # 1815,Pakistan,Balanced,New Zealand
New Zealand,Bangladesh,New Zealand,48 runs,Christchurch,"Oct 12, 2022",T20I # 1816,New Zealand,Balanced,New Zealand
Australia,England,England,8 runs,Canberra,"Oct 12, 2022",T20I # 1817,England,Balanced,Australia
Bangladesh,Pakistan,Pakistan,7 wickets,Christchurch,"Oct 13, 2022",T20I # 1818,Bangladesh,Balanced,New Zealand
New Zealand,Pakistan,Pakistan,5 wickets,Christchurch,"Oct 14, 2022",T20I # 1819,New Zealand,Balanced,New Zealand
Australia,England,0,-,Canberra,"Oct 14, 2022",T20I # 1820,Australia,Balanced,Australia
Indonesia,South Korea,Indonesia,64 runs,Sano,"Oct 15, 2022",T20I # 1821,Indonesia,Balanced,Japan
Japan,South Korea,Japan,48 runs,Sano,"Oct 15, 2022",T20I # 1822,Japan,Balanced,Japan
Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",T20I # 1823,Namibia,Balanced,Australia
Japan,Indonesia,Japan,4 wickets,Sano,"Oct 16, 2022",T20I # 1824,Indonesia,Balanced,Japan
Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,"Oct 16, 2022",T20I # 1825,U.A.E.,Balanced,Australia
Scotland,West Indies,Scotland,42 runs,Hobart,"Oct 17, 2022",T20I # 1826,Scotland,Balanced,Australia
Japan,South Korea,Japan,8 wickets,Sano,"Oct 17, 2022",T20I # 1827,South Korea,Balanced,Japan
Ireland,Zimbabwe,Zimbabwe,31 runs,Hobart,"Oct 17, 2022",T20I # 1828,Zimbabwe,Balanced,Australia
Japan,Indonesia,Indonesia,6 wickets,Sano,"Oct 18, 2022",T20I # 1829,Japan,Balanced,Japan
Namibia,Netherlands,Netherlands,5 wickets,Geelong,"Oct 18, 2022",T20I # 1830,Namibia,Balanced,Australia
Indonesia,South Korea,Indonesia,3 wickets,Sano,"Oct 18, 2022",T20I # 1831,South Korea,Balanced,Japan
Sri Lanka,U.A.E.,Sri Lanka,79 runs,Geelong,"Oct 18, 2022",T20I # 1832,Sri Lanka,Balanced,Australia
Ireland,Scotland,Ireland,6 wickets,Hobart,"Oct 19, 2022",T20I # 1833,Scotland,Balanced,Australia
West Indies,Zimbabwe,West Indies,31 runs,Hobart,"Oct 19, 2022",T20I # 1834,West Indies,Balanced,Australia
Netherlands,Sri Lanka,Sri Lanka,16 runs,Geelong,"Oct 20, 2022",T20I # 1835,Sri Lanka,Balanced,Australia
Namibia,U.A.E.,U.A.E.,7 runs,Geelong,"Oct 20, 2022",T20I # 1836,U.A.E.,Balanced,Australia
Ireland,West Indies,Ireland,9 wickets,Hobart,"Oct 21, 2022",T20I # 1837,West Indies,Balanced,Australia
Scotland,Zimbabwe,Zimbabwe,5 wickets,Hobart,"Oct 21, 2022",T20I # 1838,Scotland,Balanced,Australia
Australia,New Zealand,New Zealand,89 runs,Sydney,"Oct 22, 2022",T20I # 1839,New Zealand,Balanced,Australia
Afghanistan,England,England,5 wickets,Perth,"Oct 22, 2022",T20I # 1840,Afghanistan,Balanced,Australia
Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart,"Oct 23, 2022",T20I # 1841,Ireland,Balanced,Australia
India,Pakistan,India,4 wickets,Melbourne,"Oct 23, 2022",T20I # 1842,Pakistan,Balanced,Australia
Bangladesh,Netherlands,Bangladesh,9 runs,Hobart,"Oct 24, 2022",T20I # 1843,Bangladesh,Balanced,Australia
South Africa,Zimbabwe,0,-,Hobart,"Oct 24, 2022",T20I # 1844,South Africa,Balanced,Australia
Australia,Sri Lanka,Australia,7 wickets,Perth,"Oct 25, 2022",T20I # 1845,Sri Lanka,Balanced,Australia
England,Ireland,Ireland,5 runs,Melbourne,"Oct 26, 2022",T20I # 1846,Ireland,Balanced,Australia
Bangladesh,South Africa,South Africa,104 runs,Sydney,"Oct 27, 2022",T20I # 1847,South Africa,Balanced,Australia
India,Netherlands,India,56 runs,Sydney,"Oct 27, 2022",T20I # 1848,India,Balanced,Australia
Pakistan,Zimbabwe,Zimbabwe,1 runs,Perth,"Oct 27, 2022",T20I # 1849,Zimbabwe,Balanced,Australia
New Zealand,Sri Lanka,New Zealand,65 runs,Sydney,"Oct 29, 2022",T20I # 1850,New Zealand,Balanced,Australia
Bangladesh,Zimbabwe,Bangladesh,3 runs,Brisbane,"Oct 30, 2022",T20I # 1851,Bangladesh,Batting,Australia
Netherlands,Pakistan,Pakistan,6 wickets,Perth,"Oct 30, 2022",T20I # 1852,Netherlands,Balanced,Australia
India,South Africa,South Africa,5 wickets,Perth,"Oct 30, 2022",T20I # 1853,India,Balanced,Australia
Tanzania,Rwanda,Tanzania,54 runs,Dar-es-Salaam,"Oct 31, 2022",T20I # 1854,Tanzania,Balanced,Tanzania
Australia,Ireland,Australia,42 runs,Brisbane,"Oct 31, 2022",T20I # 1855,Australia,Batting,Australia
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Brisbane,"Nov 1, 2022",T20I # 1856,Afghanistan,Batting,Australia
Tanzania,Rwanda,Tanzania,21 runs,Dar-es-Salaam,"Nov 1, 2022",T20I # 1857,Tanzania,Balanced,Tanzania
England,New Zealand,England,20 runs,Brisbane,"Nov 1, 2022",T20I # 1858,England,Batting,Australia
Netherlands,Zimbabwe,Netherlands,5 wickets,Adelaide,"Nov 2, 2022",T20I # 1859,Zimbabwe,Balanced,Australia
Bangladesh,India,India,5 runs,Adelaide,"Nov 2, 2022",T20I # 1860,India,Balanced,Australia
Pakistan,South Africa,Pakistan,33 runs,Sydney,"Nov 3, 2022",T20I # 1861,Pakistan,Balanced,Australia
Ireland,New Zealand,New Zealand,35 runs,Adelaide,"Nov 4, 2022",T20I # 1862,New Zealand,Balanced,Australia
Tanzania,Rwanda,Tanzania,77 runs,Dar-es-Salaam,"Nov 4, 2022",T20I # 1863,Tanzania,Balanced,Tanzania
Australia,Afghanistan,Australia,4 runs,Adelaide,"Nov 4, 2022",T20I # 1864,Australia,Balanced,Australia
Germany,Italy,Germany,10 wickets,Almeria,"Nov 4, 2022",T20I # 1865,Italy,Balanced,Spain
Germany,Italy,Germany,8 wickets,Almeria,"Nov 4, 2022",T20I # 1866,Italy,Balanced,Spain
England,Sri Lanka,England,4 wickets,Sydney,"Nov 5, 2022",T20I # 1867,Sri Lanka,Balanced,Australia
Spain,Italy,Spain,4 wickets,Almeria,"Nov 5, 2022",T20I # 1868,Italy,Balanced,Spain
Tanzania,Rwanda,Tanzania,3 wickets,Dar-es-Salaam,"Nov 5, 2022",T20I # 1869,Rwanda,Balanced,Tanzania
Spain,Germany,Germany,36 runs,Almeria,"Nov 5, 2022",T20I # 1870,Germany,Balanced,Spain
Netherlands,South Africa,Netherlands,13 runs,Adelaide,"Nov 6, 2022",T20I # 1871,Netherlands,Balanced,Australia
Bangladesh,Pakistan,Pakistan,5 wickets,Adelaide,"Nov 6, 2022",T20I # 1872,Bangladesh,Balanced,Australia
India,Zimbabwe,India,71 runs,Melbourne,"Nov 6, 2022",T20I # 1873,India,Balanced,Australia
Spain,Germany,Spain,5 runs,Almeria,"Nov 6, 2022",T20I # 1874,Spain,Balanced,Spain
Tanzania,Rwanda,Tanzania,10 wickets,Dar-es-Salaam,"Nov 6, 2022",T20I # 1875,Rwanda,Balanced,Tanzania
Spain,Italy,Italy,33 runs,Almeria,"Nov 6, 2022",T20I # 1876,Italy,Balanced,Spain
New Zealand,Pakistan,Pakistan,7 wickets,Sydney,"Nov 9, 2022",T20I # 1877,New Zealand,Balanced,Australia
England,India,England,10 wickets,Adelaide,"Nov 10, 2022",T20I # 1878,India,Balanced,Australia
England,Pakistan,England,5 wickets,Melbourne,"Nov 13, 2022",T20I # 1879,Pakistan,Balanced,Australia
Oman,Saudi Arabia,Oman,9 wickets,Al Amerat,"Nov 14, 2022",T20I # 1880,Saudi Arabia,Balanced,Oman
Bahrain,Canada,Canada,4 wickets,Al Amerat,"Nov 14, 2022",T20I # 1881,Bahrain,Balanced,Oman
Canada,Saudi Arabia,Canada,66 runs,Al Amerat,"Nov 15, 2022",T20I # 1882,Canada,Balanced,Oman
Oman,Bahrain,Bahrain,6 wickets,Al Amerat,"Nov 15, 2022",T20I # 1883,Oman,Balanced,Oman
Bahrain,Saudi Arabia,Bahrain,53 runs,Al Amerat,"Nov 16, 2022",T20I # 1884,Bahrain,Balanced,Oman
Oman,Canada,Canada,1 runs,Al Amerat,"Nov 16, 2022",T20I # 1885,Canada,Balanced,Oman
Lesotho,Mali,Lesotho,31 runs,Kigali,"Nov 17, 2022",T20I # 1886,Lesotho,Batting,Rwanda
Rwanda,Botswana,Rwanda,5 wickets,Rwanda,"Nov 17, 2022",T20I # 1887,Botswana,Balanced,Rwanda
Botswana,Seychelles,0,-,Kigali,"Nov 17, 2022",T20I # 1888,Botswana,Batting,Rwanda
Kenya,St Helena,0,-,Rwanda,"Nov 17, 2022",T20I # 1889,Kenya,Balanced,Rwanda
Oman,Saudi Arabia,Oman,7 wickets,Al Amerat,"Nov 17, 2022",T20I # 1890,Saudi Arabia,Balanced,Oman
Bahrain,Canada,Bahrain,8 wickets,Al Amerat,"Nov 17, 2022",T20I # 1891,Canada,Balanced,Oman
Botswana,Lesotho,Botswana,10 wickets,Kigali,"Nov 18, 2022",T20I # 1892,Lesotho,Batting,Rwanda
Rwanda,St Helena,Rwanda,54 runs,Rwanda,"Nov 18, 2022",T20I # 1893,Rwanda,Balanced,Rwanda
Kenya,Malawi,0,-,Rwanda,"Nov 18, 2022",T20I # 1894,Kenya,Balanced,Rwanda
Mali,Seychelles,0,-,Kigali,"Nov 18, 2022",T20I # 1895,Mali,Batting,Rwanda
Canada,Saudi Arabia,Canada,45 runs,Al Amerat,"Nov 19, 2022",T20I # 1896,Canada,Balanced,Oman
Oman,Bahrain,Oman,106 runs,Al Amerat,"Nov 19, 2022",T20I # 1897,Oman,Balanced,Oman
New Zealand,India,India,65 runs,Mount Maunganui,"Nov 20, 2022",T20I # 1898,India,Balanced,New Zealand
Botswana,Malawi,Malawi,4 wickets,Rwanda,"Nov 20, 2022",T20I # 1899,Botswana,Balanced,Rwanda
Kenya,Mali,Kenya,10 wickets,Kigali,"Nov 20, 2022",T20I # 1900,Mali,Batting,Rwanda
Lesotho,Seychelles,Lesotho,7 wickets,Kigali,"Nov 20, 2022",T20I # 1901,Seychelles,Batting,Rwanda
Rwanda,Kenya,Kenya,9 wickets,Rwanda,"Nov 20, 2022",T20I # 1902,Rwanda,Balanced,Rwanda
Oman,Canada,Canada,3 wickets,Al Amerat,"Nov 20, 2022",T20I # 1903,Oman,Balanced,Oman
Bahrain,Saudi Arabia,Saudi Arabia,9 wickets,Al Amerat,"Nov 20, 2022",T20I # 1904,Bahrain,Balanced,Oman
Kenya,Lesotho,Kenya,167 runs,Kigali,"Nov 21, 2022",T20I # 1905,Kenya,Batting,Rwanda
Malawi,Mali,Malawi,74 runs,Rwanda,"Nov 21, 2022",T20I # 1906,Malawi,Balanced,Rwanda
Rwanda,Malawi,Rwanda,41 runs,Rwanda,"Nov 21, 2022",T20I # 1907,Rwanda,Balanced,Rwanda
Seychelles,St Helena,St Helena,2 runs,Kigali,"Nov 21, 2022",T20I # 1908,St Helena,Batting,Rwanda
Bahrain,Saudi Arabia,Saudi Arabia,32 runs,Al Amerat,"Nov 21, 2022",T20I # 1909,Saudi Arabia,Balanced,Oman
Oman,Canada,Canada,8 wickets,Al Amerat,"Nov 21, 2022",T20I # 1910,Oman,Balanced,Oman
New Zealand,India,0,-,Napier,"Nov 22, 2022",T20I # 1911,New Zealand,Balanced,New Zealand
Botswana,Mali,Botswana,5 wickets,Rwanda,"Nov 22, 2022",T20I # 1912,Mali,Balanced,Rwanda
Lesotho,St Helena,St Helena,45 runs,Kigali,"Nov 22, 2022",T20I # 1913,St Helena,Batting,Rwanda
Malawi,Seychelles,0,-,Rwanda,"Nov 22, 2022",T20I # 1914,Malawi,Balanced,Rwanda
Mali,St Helena,0,-,Kigali,"Nov 22, 2022",T20I # 1915,Mali,Batting,Rwanda
Malawi,St Helena,Malawi,10 wickets,Rwanda,"Nov 24, 2022",T20I # 1916,St Helena,Balanced,Rwanda
Rwanda,Seychelles,Rwanda,75 runs,Kigali,"Nov 24, 2022",T20I # 1917,Rwanda,Batting,Rwanda
Botswana,Kenya,Kenya,8 wickets,Rwanda,"Nov 24, 2022",T20I # 1918,Botswana,Balanced,Rwanda
Rwanda,Mali,Rwanda,10 wickets,Kigali,"Nov 24, 2022",T20I # 1919,Mali,Batting,Rwanda
Botswana,St Helena,Botswana,60 runs,Rwanda,"Nov 25, 2022",T20I # 1920,Botswana,Balanced,Rwanda
Lesotho,Malawi,Malawi,118 runs,Kigali,"Nov 25, 2022",T20I # 1921,Malawi,Batting,Rwanda
Kenya,Seychelles,Kenya,7 wickets,Rwanda,"Nov 25, 2022",T20I # 1922,Seychelles,Balanced,Rwanda
Rwanda,Lesotho,0,-,Kigali,"Nov 25, 2022",T20I # 1923,Rwanda,Batting,Rwanda
Eswatini,Ghana,Ghana,25 runs,Kigali,"Dec 1, 2022",T20I # 1924,Ghana,Batting,Rwanda
Sierra Leone,Tanzania,Tanzania,9 wickets,Rwanda,"Dec 1, 2022",T20I # 1925,Sierra Leone,Balanced,Rwanda
Eswatini,Gambia,Eswatini,5 wickets,Kigali,"Dec 1, 2022",T20I # 1926,Gambia,Batting,Rwanda
Mozambique,Nigeria,Nigeria,8 wickets,Rwanda,"Dec 1, 2022",T20I # 1927,Mozambique,Balanced,Rwanda
Ghana,Mozambique,Mozambique,7 wickets,Kigali,"Dec 2, 2022",T20I # 1928,Ghana,Batting,Rwanda
Nigeria,Sierra Leone,Nigeria,6 wickets,Rwanda,"Dec 2, 2022",T20I # 1929,Sierra Leone,Balanced,Rwanda
Cameroon,Sierra Leone,Sierra Leone,1 wickets,Rwanda,"Dec 2, 2022",T20I # 1930,Cameroon,Balanced,Rwanda
Eswatini,Mozambique,Mozambique,9 wickets,Kigali,"Dec 2, 2022",T20I # 1931,Eswatini,Batting,Rwanda
Cameroon,Mozambique,Mozambique,9 wickets,Rwanda,"Dec 4, 2022",T20I # 1932,Cameroon,Balanced,Rwanda
Eswatini,Nigeria,Nigeria,118 runs,Kigali,"Dec 4, 2022",T20I # 1933,Nigeria,Batting,Rwanda
Gambia,Nigeria,Nigeria,9 wickets,Kigali,"Dec 4, 2022",T20I # 1934,Gambia,Batting,Rwanda
Ghana,Tanzania,Tanzania,4 wickets,Rwanda,"Dec 4, 2022",T20I # 1935,Ghana,Balanced,Rwanda
Eswatini,Sierra Leone,Sierra Leone,4 runs,Kigali,"Dec 5, 2022",T20I # 1936,Sierra Leone,Batting,Rwanda
Mozambique,Tanzania,Tanzania,6 wickets,Rwanda,"Dec 5, 2022",T20I # 1937,Mozambique,Balanced,Rwanda
Cameroon,Nigeria,Nigeria,17 runs,Rwanda,"Dec 5, 2022",T20I # 1938,Nigeria,Balanced,Rwanda
Ghana,Sierra Leone,Sierra Leone,18 runs,Kigali,"Dec 5, 2022",T20I # 1939,Sierra Leone,Batting,Rwanda
Gambia,Sierra Leone,Sierra Leone,8 wickets,Kigali,"Dec 6, 2022",T20I # 1940,Gambia,Batting,Rwanda
Eswatini,Tanzania,Tanzania,66 runs,Rwanda,"Dec 6, 2022",T20I # 1941,Tanzania,Balanced,Rwanda
Cameroon,Ghana,Ghana,107 runs,Kigali,"Dec 6, 2022",T20I # 1942,Ghana,Batting,Rwanda
Gambia,Tanzania,Tanzania,10 wickets,Rwanda,"Dec 6, 2022",T20I # 1943,Gambia,Balanced,Rwanda
Cameroon,Eswatini,0,-,Kigali,"Dec 8, 2022",T20I # 1944,Cameroon,Batting,Rwanda
Gambia,Ghana,Ghana,138 runs,Rwanda,"Dec 8, 2022",T20I # 1945,Ghana,Balanced,Rwanda
Gambia,Mozambique,Mozambique,40 runs,Kigali,"Dec 8, 2022",T20I # 1946,Mozambique,Batting,Rwanda
Nigeria,Tanzania,0,-,Rwanda,"Dec 8, 2022",T20I # 1947,Nigeria,Balanced,Rwanda
Cameroon,Gambia,Gambia,11 runs,Kigali,"Dec 9, 2022",T20I # 1948,Gambia,Batting,Rwanda
Mozambique,Sierra Leone,Mozambique,5 wickets,Rwanda,"Dec 9, 2022",T20I # 1949,Sierra Leone,Balanced,Rwanda
Cameroon,Tanzania,Tanzania,184 runs,Kigali,"Dec 9, 2022",T20I # 1950,Tanzania,Batting,Rwanda
Ghana,Nigeria,Nigeria,6 wickets,Rwanda,"Dec 9, 2022",T20I # 1951,Ghana,Balanced,Rwanda
Rwanda,Tanzania,Tanzania,66 runs,Rwanda,"Dec 13, 2022",T20I # 1952,Tanzania,Balanced,Rwanda
Rwanda,Tanzania,Tanzania,5 wickets,Rwanda,"Dec 13, 2022",T20I # 1953,Rwanda,Balanced,Rwanda
Rwanda,Uganda,Uganda,85 runs,Rwanda,"Dec 14, 2022",T20I # 1954,Uganda,Balanced,Rwanda
Tanzania,Uganda,0,-,Rwanda,"Dec 14, 2022",T20I # 1955,Tanzania,Balanced,Rwanda
Malaysia,Bahrain,Malaysia,11 runs,Bangi,"Dec 15, 2022",T20I # 1956,Malaysia,Balanced,Malaysia
Qatar,Singapore,Qatar,5 wickets,Bangi,"Dec 15, 2022",T20I # 1957,Singapore,Balanced,Malaysia
Rwanda,Uganda,Uganda,133 runs,Rwanda,"Dec 15, 2022",T20I # 1958,Uganda,Balanced,Rwanda
Tanzania,Uganda,Uganda,13 runs,Rwanda,"Dec 15, 2022",T20I # 1959,Uganda,Balanced,Rwanda
Malaysia,Qatar,Malaysia,8 wickets,Bangi,"Dec 16, 2022",T20I # 1960,Qatar,Balanced,Malaysia
Bahrain,Singapore,0,-,Bangi,"Dec 16, 2022",T20I # 1961,Bahrain,Balanced,Malaysia
Rwanda,Uganda,Uganda,97 runs,Rwanda,"Dec 16, 2022",T20I # 1962,Uganda,Balanced,Rwanda
Rwanda,Tanzania,Rwanda,1 runs,Rwanda,"Dec 16, 2022",T20I # 1963,Rwanda,Balanced,Rwanda
Bahrain,Qatar,Bahrain,13 runs,Bangi,"Dec 18, 2022",T20I # 1964,Bahrain,Balanced,Malaysia
Malaysia,Singapore,Malaysia,120 runs,Bangi,"Dec 18, 2022",T20I # 1965,Malaysia,Balanced,Malaysia
Tanzania,Uganda,Uganda,2 runs,Rwanda,"Dec 18, 2022",T20I # 1966,Uganda,Balanced,Rwanda
Rwanda,Tanzania,Tanzania,6 wickets,Rwanda,"Dec 18, 2022",T20I # 1967,Rwanda,Balanced,Rwanda
Qatar,Singapore,Qatar,8 wickets,Bangi,"Dec 19, 2022",T20I # 1968,Singapore,Balanced,Malaysia
Malaysia,Bahrain,Malaysia,7 wickets,Bangi,"Dec 19, 2022",T20I # 1969,Bahrain,Balanced,Malaysia
Tanzania,Uganda,Tanzania,5 wickets,Rwanda,"Dec 19, 2022",T20I # 1970,Uganda,Balanced,Rwanda
Rwanda,Uganda,Uganda,9 wickets,Rwanda,"Dec 19, 2022",T20I # 1971,Rwanda,Balanced,Rwanda
Rwanda,Tanzania,Tanzania,31 runs,Rwanda,"Dec 20, 2022",T20I # 1972,Tanzania,Balanced,Rwanda
Rwanda,Uganda,Uganda,7 wickets,Rwanda,"Dec 20, 2022",T20I # 1973,Rwanda,Balanced,Rwanda
Bahrain,Singapore,Bahrain,6 wickets,Bangi,"Dec 21, 2022",T20I # 1974,Singapore,Balanced,Malaysia
Malaysia,Qatar,0,-,Bangi,"Dec 21, 2022",T20I # 1975,Malaysia,Balanced,Malaysia
Malaysia,Singapore,Malaysia,143 runs,Bangi,"Dec 22, 2022",T20I # 1976,Malaysia,Balanced,Malaysia
Bahrain,Qatar,0,-,Bangi,"Dec 22, 2022",T20I # 1977,Bahrain,Balanced,Malaysia
Rwanda,Tanzania,Tanzania,28 runs,Rwanda,"Dec 22, 2022",T20I # 1978,Tanzania,Balanced,Rwanda
Tanzania,Uganda,Uganda,7 runs,Rwanda,"Dec 22, 2022",T20I # 1979,Uganda,Balanced,Rwanda
Qatar,Singapore,Qatar,9 wickets,Bangi,"Dec 23, 2022",T20I # 1980,Singapore,Balanced,Malaysia
Malaysia,Bahrain,Bahrain,6 wickets,Bangi,"Dec 23, 2022",T20I # 1981,Malaysia,Balanced,Malaysia
Rwanda,Uganda,Uganda,3 runs,Rwanda,"Dec 23, 2022",T20I # 1982,Uganda,Balanced,Rwanda
Tanzania,Uganda,0,-,Rwanda,"Dec 23, 2022",T20I # 1983,Tanzania,Balanced,Rwanda
India,Sri Lanka,India,2 runs,Wankhede,"Jan 3, 2023",T20I # 1984,India,Balanced,India
India,Sri Lanka,Sri Lanka,16 runs,Pune,"Jan 5, 2023",T20I # 1985,Sri Lanka,Balanced,India
India,Sri Lanka,India,91 runs,Rajkot,"Jan 7, 2023",T20I # 1986,India,Balanced,India
Zimbabwe,Ireland,Zimbabwe,5 wickets,Harare,"Jan 12, 2023",T20I # 1987,Ireland,Balanced,Zimbabwe
Zimbabwe,Ireland,Ireland,6 wickets,Harare,"Jan 14, 2023",T20I # 1988,Zimbabwe,Balanced,Zimbabwe
Zimbabwe,Ireland,Zimbabwe,4 wickets,Harare,"Jan 15, 2023",T20I # 1989,Ireland,Balanced,Zimbabwe
India,New Zealand,New Zealand,21 runs,Ranchi,"Jan 27, 2023",T20I # 1990,New Zealand,Balanced,India
India,New Zealand,India,6 wickets,Lucknow,"Jan 29, 2023",T20I # 1991,New Zealand,Balanced,India
India,New Zealand,India,168 runs,Ahmedabad,"Feb 1, 2023",T20I # 1992,India,Balanced,India
U.A.E.,Afghanistan,Afghanistan,5 wickets,Abu Dhabi,"Feb 16, 2023",T20I # 1993,U.A.E.,Bowling,United Arab Emirates (UAE)
U.A.E.,Afghanistan,U.A.E.,9 wickets,Abu Dhabi,"Feb 18, 2023",T20I # 1994,Afghanistan,Bowling,United Arab Emirates (UAE)
U.A.E.,Afghanistan,Afghanistan,6 wickets,Abu Dhabi,"Feb 19, 2023",T20I # 1995,U.A.E.,Bowling,United Arab Emirates (UAE)
Argentina,Bermuda,Bermuda,6 wickets,Buenos Aires,"Feb 21, 2023",T20I # 1996,Argentina,Balanced,Argentina
Argentina,Bermuda,Bermuda,107 runs,Buenos Aires,"Feb 22, 2023",T20I # 1997,Bermuda,Balanced,Argentina
Spain,Isle of Man,Spain,81 runs,Cartagena,"Feb 24, 2023",T20I # 1998,Spain,Balanced,Colombia
Spain,Isle of Man,0,-,Cartagena,"Feb 24, 2023",T20I # 1999,Spain,Balanced,Colombia
Spain,Isle of Man,Spain,8 wickets,Cartagena,"Feb 25, 2023",T20I # 2000,Isle of Man,Balanced,Colombia
Spain,Isle of Man,Spain,6 wickets,Cartagena,"Feb 25, 2023",T20I # 2001,Isle of Man,Balanced,Colombia
Argentina,Panama,Panama,53 runs,Buenos Aires,"Feb 25, 2023",T20I # 2002,Panama,Balanced,Argentina
Bermuda,Cayman Is,Bermuda,96 runs,Buenos Aires,"Feb 25, 2023",T20I # 2003,Bermuda,Balanced,Argentina
